post,Label,dialect,source
وحدة,depression,slang,crowdsourcing
مكتئب,depression,slang,crowdsourcing
صحيت دلوقتي و مفيش اي حاجة اتغيرت.. كل يوم زي اللي قبله,depression,slang,crowdsourcing
"عندما سمعت سيوران يقول: ""أن تشبه عدّاء يتوقف في ذروة العدو كي يحاول فهم مبرر السباق."".
 ظننته يهذي، بينما دربه كله، كان هذيانًا. 

عندما أحاول فأنا لا أنتظر النتيجة، بل تجديد القدرة على محاولةٍ أخرى؛ في الوقت الذي اعتقدتُ فيه أن هذا ذكاءً، أو -على الأقل- حكمةً؛ اهترأت قدمي.
وبينما قدمي تنزف، بقيتُ أراقبها ظنًا مني أن الأرض تبكي من أجلي.

بعد الحصر: أملك ثلاثين سببًا؛ كل يوم، أعيد ترتيب مراسم موتي.
أملك ما يكفي لجعلي أشهد عزائي دون دمعةٍ واحدة.
أحتفظ بسبب بقائي كورقة رابحة؛ في كل صباح أنظر إلى المرآة وأقول: يا لتعاستك، لن تموت اليوم.
النظر إلى السماء أشبه بالغرق؛ تمنيتُ لو أراني فيها.
عندما أشاهد فيلمًا أتمنى لو أن حياتي بهذا القِصَر.

حوائط الغرفة -لسوء حظها- تعرف عنك أكثر مما يعرفون هم.
عندما أعود ليلًا أجد أن ""لاأحد"" بالمنزل، و""لاأحد"" لا تعني أن المنزل فارغًا.",depression,slang,crowdsourcing
"تخيل تحس نفسك أقل واحد بين زمايلك ؟
تخيل تحس نفسك قليل وكله بيتقدم وانت واقف مكانك ؟ 
إحساس الفشل ملاحقني ومش عارف اتخلص منه.
عندي كميه إحباط كبيره قادره تهد جبل ومنعاني اني اتقدم قدام وكل ماخد خطوه ارجعها اتنين.
",depression,slang,crowdsourcing
لا يوجد بهجة في الحياة ، كل الأمور باتت حزينة و مؤلمة، و كل البشر أصبحوا غير ودودين و لا يكترث أي أحد إلا لنفسه ,depression,slang,crowdsourcing
انا اخدت علاج كتير في رحلة علاجي بقت صحتي وحشة واعصابي بقت تسيب مش بثبت في شغل من كده وحالتي المادية وحشة جدا وناس بتجيبلي علاج ونفسي اجيب حاجات لنفسي مش عارف معييش فلوس ساعات اكشف على ضروسي اللي بتالمني دي بقيت مباكلش من الخنقة الاكل بينزل وبرجعه انا مش عارف اعيش نفسي في شغل يتناسب معايا بس الدنيا مبترحمش مريض  حرفيا انا نفسي افرح نسيت الشعور ساعدوني ارجوكم بجد مليش حد ساعدوني عشان اتالمت كتير وعشان محسش ان حياتي لازم تنتهي عند كده,depression,slang,crowdsourcing
انا طالب بالسنة الأخيرة لكلية حاسبات جامعة القاهرة  والحمدلله خلصت بس لسة عندي مادتين ف السمر وده مسببلي مشاكل كبيرة جدا أولها هو الجيش اللي هدخله ف شهر يوليو القادم بدلا من يناير يعني تأخير ستة شهور . ,depression,slang,crowdsourcing
بمر بفترة صعبة جدا في حياتي اصلح لا بوجد شئ قادر على اسعادى افتقد الى الشغف الى اي شئ و يقاتلنى شعور داخلى بانى يجب ان اتحمل الكثير من المسئوليات كالبدأ في العمل و جني المال و لكن يوجد مأزق و هو الجيش بمنعني من فعل كل ذلك و صديق عمرى مات من فترة و هذا جعل الامور اكثر سوءا ، الحياة مريرة بكل ما تحمله الكلمة من معنى,depression,slang,crowdsourcing
لما تبقى انت ميت من جوا ومن برا ومش حاسس بحاجة ولما تبقى فراغ لابس جلد انسان وبتحاول تتصرف زي مابقبت البشر بيتصرفوا يمكن تحس بحاجة لاكن مفيش فايدة مفيش احساس غير العدم الي جواك بيوجعك بس بدون الم وبدون صوت,depression,slang,crowdsourcing
