post,label,source,dialect
"وزارة الصحة العامة تعلن تسجيل أول حالة إصابة مؤكدة بفيروس #كورونا (كوفيد-19) في #قطر
#مرسال_قطر",normal,Data_World,slang
"ربي يشفي ويعافي الجميع ويحمي اهل قطر وكل من عايش علي ارضها
",normal,Data_World,slang
ربي يشافيه ويعافيه ويقوم بالف سلامه ان شاء الله,normal,Data_World,slang
"الله يشفيه يارب ويعافيه
",normal,Data_World,slang
اللهم اني استودعك قطر وأهلها والمقيمين فيها من كل سوء اللهم احرسهم بعينك التي لا تنام يارب العالمين... إن شاء الله ربنا ما يضرك ياقطر ولا يضر اهلك الطيبين الخلوقين وان شاء الله حمله #حق_الشام  والوظائف الي وفرتها لشباب الأردن  تكون شفيعه لكم عند الله ويحفظكم من كل مكروه,normal,Data_World,slang
"{قُل لَّن يُصِيبَنَا إِلَّا مَا كَتَبَ اللَّهُ لَنَا هُوَ مَوْلَانَا ۚ وَعَلَى اللَّهِ فَلْيَتَوَكَّلِ الْمُؤْمِنُونَ }
",normal,Data_World,slang
لا حول ولا قوة الا بالله الله المستعان,normal,Data_World,slang
"الله يشافيه ويعافيه يارب
",normal,Data_World,slang
"الله يشفيه ويعافيه
",normal,Data_World,slang
"الله يشفيه ويعافيه ان شاءالله
",normal,Data_World,slang
الله يشفيه مسكين  والله يصرف هذا المرض ويحفظ الجميع,normal,Data_World,slang
"لا داعي للذعر .. اول حالة #كورونا_الجديد في #قطر  حالة قادمة من ضمن المسافرين القادمين على متن الطائرة الخاصة من ايران و هي لمواطن قطري تم نقله من الطائرة الى الحجر الصحي و منه الى مستشفى الأمراض الانتقالية 
 
",normal,Data_World,slang
"تسجيل حالتين إضافيتين مصابتين بمرض #فيروس_كورونا ٢٠١٩ (#كوفيد_19) في دولة #قطر..
",normal,Data_World,slang
الله يشفيهم,normal,Data_World,slang
"الله يشفيهم يارب
",normal,Data_World,slang
"اللهم شافهم وعافهم ، واحفظ الجميع يارب
",normal,Data_World,slang
"الله يشفيهم ويعافيهم ويكون بعونهم وعون أهاليهم 
ويحفظنا ويحفظ بلادنا من شر هالوباء ومن سيء الأسقام والجذام يارب العالمين
",normal,Data_World,slang
"اللهم نسالك ان تشفيهم وتعافينا من هذا الوباء
",normal,Data_World,slang
"لطفك يا رب
اللهم عافهم ومُنّ عليهم بالشفاء العاجل
.
.
.
 اللهم سلم سلم",normal,Data_World,slang
"الله يشافيهم يا رب
",normal,Data_World,slang
"لاحول ولاقوة الا بالله العظيم
",normal,Data_World,slang
"يارب لطفك بعبادك يارب اللهم تشفيهم واشفي كل مريض يارب ا
",normal,Data_World,slang
"اللهم احفظنا يارب واحفظ قطر ومن فيها
",normal,Data_World,slang
"تمنياتنا لهم بالشفاء العاجل
",normal,Data_World,slang
 ❤الله يشافيهم ويعافيهم ويردون بيتهم سالمين يارب,normal,Data_World,slang
"الحمد لله على كل حال 🤲🏻
نسأل الله لنا ولجميع من يعيش على دولة قطر السلامة والعافية 
وللمصابين بالفايروس الشفاء العاجل 
ونشكركم على المصداقية والشفافية 👍🏻",normal,Data_World,slang
"اللهم لك الحمدالله اقل نسبه في قطر ربي يشفي الجميع
",normal,Data_World,slang
"نسأل الله لهم الشفاء وأن يحفظ البلد والعباد
",normal,Data_World,slang
"وزارة الصحة العامة تعلن تسجيل أربع حالات جديدة مصابة بمرض #فيروس_كورونا ٢٠١٩ (#كوفيد١٩) في دولة #قطر
",normal,Data_World,slang
"الله يقويكم ياوزارة الصحة ومنتسبيها وندعو بالسلامة والشفاء العاجل لجميع المرضى .
",normal,Data_World,slang
  🙏الله يقويكم على مكافحة الفيروس والحدّ من انتشاره، الله يشفي جميع المرضى,normal,Data_World,slang
"الله يعطيكم الصحة والقوة في مكافحة هذا المرض، ويشفى جميع المصابين، ويبعد هذا البلاء عن العاملين أطباءً وممرضين، ويكتب السلامة لكل إنسان يعيش على أرض هذا الوطن.
",normal,Data_World,slang
"ربي يشفي ويعافي الجميع
",normal,Data_World,slang
"الله يحفظهم ويشفيهم والله يحفظ الجميع ويبعد عنا الأمراض
",normal,Data_World,slang
"انشاء الله خير
",normal,Data_World,slang
"طهور ان شاء الله
ربنا يشفيهم ويعافيهم ويحفظ بلاد المسلمين يارب",normal,Data_World,slang
"الله يعطيكم العافيه
وجهودكم تشكرون عليها
والله يحفظ قطر ومن يقيم على أراضيها",normal,Data_World,slang
"
الامر بسيط وابسط مما نتصور وما انزل الله من داء الا وله دواء سبحانه جل شانه وبعدين اللي طلع اسم الفايروس مايقدر يجيب العلاج !؟ .. 
الكورونا مثله مثل الصخونه ، العنقز ، وغيرها من جنود الله .. 
فلا تأخذون الموضوع بخوف ورهبان والحافظ الله سبحانه",normal,Data_World,slang
تعلن وزارة الصحة العامة عن تسجيل حالة إصابة جديدة مؤكدة بمرض #فيروس_كورونا 2019 (#كوفيد_19) في #قطر لـمواطن من الذين قامت الدولة بإجلائهم على متن طائرة خاصة من إيران في 27 فبراير الماضي، ليصل بذلك عدد حالات الإصابة المؤكدة في البلاد إلى 8 حالات حتى الآن..,normal,Data_World,slang
"الله يشفيهم ويعافيهم
",normal,Data_World,slang
"الله يشفي الجميع
",normal,Data_World,slang
الله يشفيهم جميع ان شاء الله و نشكر الوزارة على الشفافية مع المواطنين وعلى حسن التدابير الوقائية والعلاجية في هذه المرحلة الصعبه,normal,Data_World,slang
"دام هم في الحجر الصحي الامور طيبه والمرضى حالتهم مستقره وربي يكتب الشفاء للجميع
",normal,Data_World,slang
"بيض الله وجوهكم ووفقكم قمتم بجهود جبار لمنع هذا الوباء القاتل ونسال الله السلامة والعافية كل من في داخل قطر وخارجها
",normal,Data_World,slang
"الله يبيض وجه كل ما ساهم وحارب هذا المرض وتعب من اجل المواطنين نشكرهم جزيل الشكر وان الله تلقونها في ميزان حسناتكم باذن الله 

والله يبعدنا عنا وعنكم هذا المرض ويحمينا من كل مكروه يارب العالمين ",normal,Data_World,slang
