post,Label,dialect,source
عايزة اتكلم مع اى حد بجد انا حرفيا بموت مش لقية حد يفهمنى ارجوكم بموت اقسم بالله ادعولى يمكن اموت وارتاح. عمرى ما شفت يوم راحة انا دلوقت بفكر فى الانتحار                                                                                                                                                                                                        ,depression,slang,facebook
عاوز اتكلم واحكي لاي حد بس معنديش الثقه مبثقش في اي حدعاوز اتكلم واحكي لاي حد بس معنديش الثقه مبثقش في اي حد                                                                                                                                                                                                        ,depression,slang,facebook
ليه الضربه ال تكسر دايما تيجي من القريب وليه كل الطاقه السلبيه بناخدها من الأهل.. وبعد. كده نسمع منهم اننا مش فاهمين واننا مرضي نفسيين  وان احنا مش مؤهلين لأي حاجه.. ليه!!                                                                                                                                                                                           ,depression,slang,facebook
انا بكلم نفسي  اهلي بيسمعوني و بيفكروني بكلم حد و لما عرفو اني بكلم نفسي بقو حسين اني مجنون  و انا بكلم نفسي كتير و صوتي اضح ليهم مهما حاولت اوطي صوتي بيسمعوه                                                                                                                                                                                                        ,depression,slang,facebook
مش عارفه ابدا منين بس حاسه ان حياتي مبقلهاش طعم عايشه وخلاص بقيت بنام كتير اوي لدرجه اني ممكن افضل نايمه يومين ورا بعض                                                                                                                                                                                                        ,depression,slang,facebook
نفسيتي تعبانه قوي قلبي وجعني عايزه اعيط الي ما لا نهايه بس خايفه حد يسمعني انا انكسرت  وانجرحت كتير اوي,depression,slang,facebook
محتاج انتحر حرفيا بس هموت كافر,depression,slang,facebook
مريتو قبل كده بإحساس فقدان الشغف والرغبه في أي حاجه لا شغل ولا عيشه ولا أي حاجه ؟,depression,slang,facebook
مش عارفه ليه بعمل كدا اني افضل اقشر ف جلد صباعي لحد م يبقي شكله مؤذي جداا وملفت خالص لو حد سلمت عليه وكدا والمصيبه اني بكون مستريحه جدا انا وبعمل كداا,depression,slang,facebook
احساس اني غير مرغوب فيه ده هيموتني,depression,slang,facebook
انا حاسة انى مخنوقة شوية حاسة ان ماحدش بيحبنى لا اصحاب ولا اهل ولا اخت ولا اى حد,depression,slang,facebook
انا شخص غير سوي خالص حياتي كلها مشاكل مش هنسي كلام واحده صاحبتي وهي بتقولي انتي ايه الي بيحصلك دا محدش يستحمله انتي ازاي كدا,depression,slang,facebook
انا مبقتش قادر استحمل انا تعبان بطريقه بشعه حرفيا مبقاش في حاجه عدله ولا حاجه حلوه فدنيتي كله حرفيا كله راح مبقتش موجود غير ف ماساه بتتكرر كل يوم,depression,slang,facebook
حساس إن أنا مش قادرة أكمل دقيقة كمان في الحياة ملازمني وحاسة طاقتي خلصت ... وكارهة جسمي أوي وشكلي وعاوزة أتخلص منهم ( بقالي سنة بعمل كاتينج ومشوهة جسمي ),depression,slang,facebook
أول مرة شعور إن عاوزة أموت يبقا قوي كدا لدرجة إن بنام ومعايا سكينة في اوضتي علشان فكرة إن أتخلص من نفسي قوية اوي,depression,slang,facebook
من فضلكم انا بعاني من وسواس مرض وموت وبعد كده نوبات هلع التلاته عندي ف كل لحظه حتي احلامي كلها حاجات مرعبه,depression,slang,facebook
اوقات بتجيلي حاله نفسيا احساس صعب جدا من الشفته والعيشته وكل متجيلي الحاله النفسيا دي مبعرفش اقوم اتحرك وبحس بوجع صعب جدا,depression,slang,facebook
في طريقي الي الجنون ! لا اعرف ما بي هل هو اكتئاب ام فصام ام شيء أسوأ أكاد اجن,depression,slang,facebook
مفيش كلمه توصف اللي انا فيه,depression,slang,facebook
ازاى اتخطى الشعور بالخذلان,depression,slang,facebook
مخنوق وحاسس ان جوايا كلام كتير ومش عارف احكي لحد ومفيش حد احكيله حاسس ان في سباق وفي حبل بيشدني بس بالعكس وانا بعافر وببذل مجهود والايام والعمر بيجروا الحمد لله,depression,slang,facebook
عندي اكتئاب حاد وأثر على جسمي وحالتي النفسية طول الوقت عياط معتش بفرح خالص لو فرحت دقيقه بعيط ببقى عارفه انها مش هتكمل وكلامي بيطلع صح وارجع للاكتئاب تاني . انا تعبت وعايزه اموت بس من غير ما اتعذب قبل ما اموت,depression,slang,facebook
مبقتش عارفه انا الى وحشه ولا الناس هي الى وحشه . عمرى ماذيت حد .عمرى ماظلمت حد . بتظلم وبتجرح من اقرب الناس ليا وبقول ظه يمكن عقاب من ربنا على ذنب انا عملته بس انا تعبت نفسيا جدا,depression,slang,facebook
ازاي بتتخطوا فكره الانتحار خصوصا لو حاولتم مره وفشلتوا، انا مش قادره اخرج برا الموضوع الفكره مسيطرة عليا بجد ومش قادره اكمل تاني في الحياه دي,depression,slang,facebook
انا مش مبسوط ..مابقتش عارف ابقي مبسوط مهما كان اللي حصل ، بقي كله عادي كله ممل .. الحزن مابينتهيش بيطول .. اوي. مابقتش بعرف افرح .. او اضحك مفيش اي حاجة مريحة بقيت بكره كل حاجة.. و مش عايز اكمل اي حاجة ولا عارف اخرج من اللي انا فيه بقالي فترة طويلة اوي اكتر من ٥ سنين .. مش عارف ...!,depression,slang,facebook
انا صعبان عليا نفسي اكون بالسن وانا لواحدي ، معرفش السبب بس حاسس اني مقيد طول عمري مش عارف اعيش حياتي ، ومش لاقي حد افضفض معاه ، بتفرق كتير  اما تلاقي شخص ف حياتك قلبه عليك او يحكي معاك ويسمعك ويهتم بيك,depression,slang,facebook
كان الحاجه الحلوة ملهاش مكان في حياتي,depression,slang,facebook
انا مكتئبه والاكتئاب عمال ياكل ف روحي وفي جسمي ومش عارفه اعمل حاجه ، معنديش طاقه اقوم حتي من ع سريري ، قاعده ف ضلمه طول الوقت زعلانه من الدنيا وزعلانه من الناس وزعلانه حتي من نفسي مش عارفه ابطل متصدمش كل مقول مفيش اسوء يطلع الاسوء يطلعلي لسانه,depression,slang,facebook
عمري مكنت ضعيف او بمعني اصح كنت كل مضعف اعرف اقوم اقف ع رجلي من تاني بس المره دي مش قادر شايفه الدنيا سوده زي سواد اوضتي نفوس الناس وحشه\,depression,slang,facebook
مساء الخير .. انا والله مبعرفش احكي مشاكلي وبكتم جوا قلبي جدا وديما ببتسم لاي حد عشان مبحبش انشر طاقه سلبيه ..بس يأست قلبي واجعني عاوز اتكلم,depression,slang,facebook
نفستي تعبانه جدا وقلبي واجعني بقاله اسبوعين ومش مرتاحه وعندي توتر شديد اوي وزايد عليا جدا وعندي قولون عصبي ماعتش بعرف انام مرتاحه ابدا قلبي وضهري والقولون تاعبني مش بعرف انام خالص خالص وعندي وسواس مسببلي رعب وخوف في حياتي قولولي اعمل اي ونبي انا تعبانه اوووي,depression,slang,facebook
