post,Label,dialect,source
السلام عليكم ورحمة الله وبركاته. أتمنى أخواني أن تكون في تمام الصحة والعافية وأشكركم على موقعكم الراقي وإتاحة الفرصة لي في الدخول إلى عالم نفساني. أخواني أتمنى أن تكونوا عون لي بعد الله سبحانة وتعالى في حل مشكلتي الغريبة التي تكاد تسسب في تدميري. أنا طالبة في مدرسة تحفيظ قران كريم وأبلغ من العمر 24 عام على خلق ودين وللله الحمد. أمر في حالة إكتئاب غريبة جدا لا أعلم لماذا؟ من التفكير في لاشيء وشرود الذهن والنوم والأحساس بالفشل. ترتب على ذلك غيابي عن الأمتحان والمدرسة إلى الان لمدة 4 أيام وأنا في فترة امتحانات. احساس في الفشل عظيم وعدم قدرتي على تحمل الظروف على علم من مقدرتي سابقا على تحمل ظروف الحياة الصعبةوتحمل المسئولية. اقفلت جميع الاتصال وسائل الاتصال بالنسبة للمدرسة للسوال عني وأيضا جوالي مقفل لمدة 4 أسام لا أريد أن اكلم أحد ابدا.أنا حائرة جدا من وضعي وافكر في ترك مدرسة القران. لا أستطيع أن استمر ولا أن اكلم أحدأرجوك منكم المساعدة عاجلا! أختكم المجروحة...,depression,slang,Nafsany
بدات معاناتي منذ ان تزوجت. قبل الزواج كنت اقرا واسمع الاشرطة التي تهتم بالحياة الزوجية وكيفية اسعاد الزوجة. قبل الزواج بيوم اشتيريت عطرين عطر في البيت وعطر وضعته في السيارة لادخل البيت متعطرا لزوجتي . كنت اريد ان اتزين لها كما اريدها ان تتزين لي. لكن ليلة الدخلة فوجئت برائحة كريهه من فمها. قلت لعلها متعبة لذا لم تنظف اسنانها. في اليوم الثاني تكرر الموضوع لاحظت انها لم تستخدم الفرشا ةابدا. بعد فترة صرت المح لها بوجوب استخدام الفرشاة فلم تستجب لي ترفض زواجبعد فترة صارحتها فلم تسجب ايضا. صدقوني لا استطيع معاشرتها لرائحة فمها الكريهه جدا. اصبت بالاكتئاب تاتيني نوبات اشعر باني اريد الصراخ قررت الزواج من ثانية لكن امي ترفض زواجي ليس عندي اخوات يبحثن لي عن زوجة.,depression,slang,Nafsany
بسم الله الرحمن الرحيم السلام عليكم يا أهل الخير أتمنى إنكم تعطوني حل.. لأني صراحة صار يجيني حالة من الاكتئاب لما أشوف حالة المدرسة حالة المجتمع عموما.. و أحب الوحدة.. هادئة ..لكن غير واثقة بنفسي أحس بثقل في لساني لما أقرأ شيء قدام أحد صحباتي بيقولولي أتكلمي مع الناس ..كثير و أنا ما أحب أتكلم.. والله ..تجيني حالات اكتئاب.. ............ وشكرا,depression,slang,Nafsany
آآآآآآآآآآه تعبانه من دنياي تعبانه من كل شئ والله الموت ارحم لي قاعده اكتب لكم ودموعي على خدي تعبت من البكاء تعبت من الظلم تعبت من حقد الناس تعبت من المرض والفقر والهم مافيه احد يساعدني مافيه احد يمسح دمعتي مافيه احد يقول لي بنيتي وش فيك حتى صديقاتي ماعاد اسمع صوتهم معاد احد يبغاني كرهت نفسي ودنيتي ....,depression,slang,Nafsany
"السلام عليكم جميعا ...  أتيتكم بين الم المنايا .. وامال المنى  أن أجد حلا يروق لتجاربي خوضه جديدا ..  مشكلتي : -  زيادة وزني واعم لعلى انقاصه منذ سنه ونصف والحمدلله  أينعت ثماري .. وفاحت ازاهيرها  لكن منذ شهرين الى ثلاثه اشهر أشعر بالملل وثقل الريجمات  معتبرةً أني فعلت تجارب كثيره لاجدد من اسلوب حياتي عامة ً  فاأنا الان أشعر بالكآبه إن اكلت او لم أأكل  وأني لا اشعر بالجوع ولا اشتهي كثيرا من الطعام  لكن تجدني انزوي واتقرفص امام الثلاجه باحثة عن طعام  مع ان وقتي ممتلىء  بين حضور دورات (( إنجليزي وكمبيوتر ))  وجلسات رياضه سالبه كما يسمونها  فللأسف لا استطيع القيام بالرياضه كالمشي لمشكله في قدمي  (( تمزق بالاربطه ))  وتشنج عضلي بفقرات العامود الفقري للرقبه  وتمزق اربطه ايضا بالكتف فأقل مجهود اشعر بالوجع  ولا استطيع النوم من نبض دقات قلبي الشديده وصداع ودوخه  وشعور بالغثيان اشعر احيانا بدنو اجلي من شدة الالم  رغم أن فعلت مايجب العلاج من ادويه  ومسكنات فقط وعلاجات فيزيائيه ولا جدوى  فقد كنت امارس الرياضه لساعات طويله فكانت نفسيتي افضل بكثير  بما احققه فقد نزلت اكثر من 30 كيلو ولازلت احتاج للكثير  فهل من احد ينتشلني مما انا فيه  فاأنا لا اجد من العزيمه ماكان  دائمه الحزن والاكتئاب  وبسبب وزني وحالتي الصحيه بشكل عام  داعية الله أن يشفيني ويشفي مرضى العالم  اشكر لكم نصائحكم مقدما ولكم مني فيض التقدير  وفاء ,,",depression,slang,Nafsany
لم احب حياتي يوما وكنت دائما ألوم الذين حولي في تعاستي والظروف والأقدار وبعض مشكلاتي النفسية كالتردد والخوف وقلة الثقة بنفسي في تعاستي وعدم احساسي بأي سعادة ولكنني الآن تيقنت واستتوعبت انني لابد أنني أعاني من الاكتئاب ليس لما أشعر به من تعاسة وعدم احساس بالسعادة واليأس من تفسير ومعنى غير أنني مكتئبة ولكن ما يقلقني أن هذه الأحاسيس والتعاسة ليست جديدة علي فأنا منذ طفولتي وأنا أحس به بل أتذكر أنني كنت أشد تعاسة عندما كنت طفلة صغيرة جدا رغم ان الكل يحاول تذكيري بأنني كنت مدللة أبي وطلباتي مجاببة ولكنني رغم كل هذا لم أكن سعيدة يوما خاصة وانا طفلة أعاني من العصبية واليأس والتردد وقلة الثقة بنفسي وبالآخرين أكره نفسي وأكره والدّي كثيرا وانتبه لعيوبهم كثيرا واعجز عن السيطرة على نفسي خصوصا مع والدّي لولا ذنوبي والخوف من الله لتمنيت الموت ليل نهار لاأرى في حياتي أي متعة وأي دافع للحياة اتمنى كثيرا لو كنت يتيمة او ان والدّي ليسو هم والدّي احيانا اتمنى امور سيئة واعتبرها افضل من حياتي عمري 28 سنة ولم اتزوج اخاف الزواج اخاف ان تكون حياتي اتعس من حياتي مع والدّي اشعر انني لن استطيع تحمل تعاسة اخرى اخاف ان لايحبني زوجي وان يكرهني واموت قهرا انا كثيرة التفكير والتحليل افكر في الامور كثيرا واحللها كثيرا وأصل دائما لنتائج سلبية هل ممكن ان اكون اعاني من الاكتئاب منذ كنت طفلة؟؟؟ لم اعلم ان الاطفال ممكن ان يصابون بالاكتئاب؟؟ اختي الصغيرة عمرها 12 سنة تشبهني بأمور كثير وخاصة بالتفكير ولاحظتها من فترة حزينة وتعيسة وتفكر في الامور بطريقة سلبية هل انتقلت العدوى لها اخاف عليها من الاكتئاب لا اريد ان تكون طفولتها وشبابها تعيسة مثلي؟,depression,slang,Nafsany
السلام عليكم جميعا انا استخدم الادويه من 6سنوات تقريبا حيث ان بدايتي مع المرض كانت نوبه هلع فضيعه وتجاوزتها والحمد لله ولكن مازالت حالتي متذبذبه مره طفشان ومره مبسوط وكنت لا اهتم بأخذ العلاج في وقته ولي شهر تقريبا على علاج تفرانيل وجمبرايد ولديوميل لكن الدكتور الي اعالج عنده لايزيد لي الجرعه حيث ان السيروكسات اسخدمته سنه بواقع حبه وتركته بدون زيادة  تحياتي لكم جميعا,depression,slang,Nafsany
السلام عليكم ورحمة الله وبركاته  تعبااااااااااااااااااااااااااااااانه من وين ابتدي وشو اقوووول ؟؟؟ والله محتاره ... افكر اروح صيدليه اشتري مهدئ يمكن يرررريحني  اعذروني صايره اخربط بالكلام .. لكن نعابنه ودييي ارتااااااح لكن موعارفه ليتني اموووت ارتاح واريح .... اعصابي تالفه .. ما اتحما فوضة اطفال .. او اخذ وعطا في الكلام بتعب قلبي .. اذا طاعت في البدابه اكون مرتاحه بعدين املل ويضبق خلقي ... دمووووووووووووووووووووووووع وحزن .. اتعدممممممم الاحساس واروح ماااااااااااااااااااااااااااااااااااااااااااااااات ت ماعاد يفرق معاي شي ابي بس راحة البال لكن احصلها ما ابي من احد شي ولا ابي احد يعتب علي بشي ولا يطلب مني اي شي ابي .. كل شي فرحنه مؤقته وتزول .. حساسيتي قي الامور تافه متعبتني .. ابي اعرف انسى واسامح ما ابي اشيل في قلبي ... في احد مثبي ولا بس انا اااااااااا ؟؟؟؟ خربطت عليكم بس سااااااااااامحوني اعتبروها فضفضه من قلب ميت يمكن بعد الكلام ترجع له الحياه ويحس ؟؟  برب,depression,slang,Nafsany
السلام عليكم منذ 3 اشهر مررت بمشكله اقلقتني كثيرا وقمت افكر فيها بطريقه سلبيه واحسست بضيق نفسي شديد جدا لم استطع تحمله وتدهورت حالتي النفسيه كثيرا ذهبت الى الطبيب وقال ان عندي اكتئاب ووصف لي دواء مضت على زيارتي للطبيب 20 يوما ..احس ان الضيق الشديد والتفكير قد تلاشى والحمدلله منذ اسبوعين ولكني احس بملل رهيب وأغلب الوقت لااحس بسعاده او فرح .. هواياتي واهتماماتي تركتها ولم اعد اجد لها اي معنى وفقدت متعتها لم اعد احس بأن الحياه جميله او ممتعه كالسابق  فهل الأحساس الدائم بالملل وعدم الأحساس بمتع الحياه هو أكتئاب نفسي ..ارجو التوضيح ولكم جزيل الشكر,depression,slang,Nafsany
دائما اخدع نفسي كل يوم واقول ما بي ليس اكتئاب .................فتاخذني الافكار السلبية وتلفني كما تلف الافعى فريستها فاكتئب اكثر  ففكرت ما هي الاعراض المصاحبة للاكتئاب ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟وسؤالي هذا قد يبعث بعض الطمانينة للنفوس الجريحة بالنسبة لي ملل والدنيا سوداء ولا اجد شيئا لافعله وضيق خلق لايخرج مني مهما فعلت .....احيانا ضربات في القلب وخوف من لاشيء.............فهل انتم كذلك؟؟؟؟؟,depression,slang,Nafsany
