Post,Label,dialect,source
ظلينا نتكلم ساعات ساعات رتبت فيها نفسي وبكيت فيها مخاوفي مازلت أحس بشعور غريب وكأني رحلت من البيت للتو وهذا الشعور أقدر أتحمله,depression,slang,semEval
واللي يغيظ ان اريكسن جاب 11 ووالكر جاب 9 وكوستا جاب 16 ومهزلة يعني عامل تريبل كابتن لاقل واحد جاب نقط 😍,depression,slang,semEval
النفاق الإلكتروني عندما تجد مواقع التواصل الإجتماعي مليئة بالأدعية والمساجد فارغة #حسرة,depression,slang,semEval
استياء شعبي,depression,slang,semEval
الشي الوحيد الي مخليني بهالحساب انو تقريبا محد يعرفني فيه وماني مستعدة اواجه حقيقة اني في حالة انكسار:(,depression,slang,semEval
انا غاضبة ورائحة افواه الصائمين تزيد من غضبي اكثر #قرف,depression,slang,semEval
عبودي رافع ضغطي عندنا ولد جار يشبه عبودي ودي اتوطأ في بطنه وبطن عبودي,depression,slang,semEval
❗\n\nفي مصر :- احنا بنشتغل عشان نجيب فلوس نروح بيها الشغل !🐸✋\n\n❕ - يشعر بـالاستياء,depression,slang,semEval
واحدة بعربية bm عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعدة مذعورة و بتتأسف و تقول سرحت .. سيبتها و مشيت 😑,depression,slang,semEval
إدعس سعادة المستشار على رقاب الجحوش قبحهم,depression,slang,semEval
@RolaFouad @mshinqiti @BlueSam2011 المغرب ماهو فاضي يفتح جبهه خصوصا ان الريف يغلي عليه غليان فتصور تغطي اخبارها الجزيرة.  فقط تغطيه,depression,slang,semEval
ياخي ده انت بتتعذب و انت بتتكلم الله يحرقك يا كابتن متحت و موت بغيظك 💅🏻,depression,slang,semEval
عند سقوطه لا يعدم و انما يقتاد الي عنبر الخطيرين في مستشفى الامراض العقلية و منه تسقط كل توقيعاته و لا يعترف او يعتد بها طالما هو #مجنون,depression,slang,semEval
@Bobleshc @YehiaMayar لا ازاى يا حبيبي نام و ارتاح  😞  😠,depression,slang,semEval
#البشير_يتطاول_على_مصر يا صبر ايوب,depression,slang,semEval
انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب,depression,slang,semEval
@momo04179 الله لاسامحك لادن يا ولا اخره قصدك من كتب كتب خافي الله لما تقولي هاذا الكلام لجميع اليمنيين,depression,slang,semEval
وقع فمات القصه حزينه,depression,slang,semEval
ماأصلح للإستغلال أبدا لأني على رغم الضعف اللي تشوفه فيني أقدر أستبدله بخبث فالله يرضى عليك إبعد وإنت طيب,depression,slang,semEval
"@maroko_chan "" اقل ما فيه انه يذل ، يهين ، يسقط الكرامه "" الواحد وش ينتظر خطوره اكثر من انه تنهان كرامته و ينذل!",depression,slang,semEval
#تعب #حزن #ضيق #وجع #ارهااق #مختنق #صدماات,depression,slang,semEval
عندما غضب المصريون غضبة مضرية لفكرة تخصيص مستشفى جابر للكويتيين لم ننفعل بهذا الشكل #تطاول_الوافدين_علي_صفاء_الهاشم,depression,slang,semEval
