post,label,dialect,source
مادري أنا جوعان ولا مكتئب,depression,slang,Twitter_API
RT @8oIIr: أنا والله مكتئب ومسوي حالي طبيعي,depression,slang,Twitter_API
RT @Reem22879985: انا  اللي عطول بضحك مع اني ممكن اكون مكتئب جدا بهذيك اللحظة اللي بضحك فيها وحامل جواتي غصة 💔 https://t.co/8DswEPJlBG,depression,slang,Twitter_API
انا مكتئب بس جالس اسوي نفسي طبيعي,depression,slang,Twitter_API
اليوم الكل مكتئب عشانه يوم السبت وانا كل ايام الاسبوع اللي راحت كنت مكتئب واليوم نفسيتي تمام التمام ومروق.. انا عارف اني مختلف,depression,slang,Twitter_API
RT @adbeii: - أنا مش مُكتئب، أنا بس طاقتي خلصت.,depression,slang,Twitter_API
انا متأكد لو اراجع عيادة نفسية بيقولولي انت مكتئب لازم تسافر حالًا,depression,slang,Twitter_API
RT @iiixiii1l: السلام عليكم طبعا انا قفلت الحجوزات من فتره بسبب ان نفسيتي ابدا مو كويسه ومو لازم اجي اسوي حركات مراهقين تويتر واجلس اقول ان…,depression,slang,Twitter_API
RT @1ii001: انا أسعد مكتئب، وأكبر إجتماعي مُنعزل، أذكى متغابي وأيضًا أغرب انسان مفهوم، وأعقد شخص محبوب,depression,slang,Twitter_API
السلام عليكم طبعا انا قفلت الحجوزات من فتره بسبب ان نفسيتي ابدا مو كويسه ومو لازم اجي اسوي حركات مراهقين تويتر واجل… https://t.co/zeEmBzhtRw,depression,slang,Twitter_API
"RT @quotes_Movi: أنا لست مكتئب فقط أريد أن انعزل عن مرضى النفوس .

- من فيلم : Aloft 2014 https://t.co/FCkuVXuxfR",depression,slang,Twitter_API
بحس جواتي كل حاجه وعكسها ، شخص بيحب الحياة وشخص فاقد شغفه ، شخص مكتئب ومطفي وشخص دمه خفيف وبيضحك ، شخص بيحب الكلام… https://t.co/zEptmHXDqJ,depression,slang,Twitter_API
@meemmind لاحظت ان الجميع مكتئب الا انا الحمد لله  و الشكر,depression,slang,Twitter_API
"RT @DELETEqip: لست مكُتئب،
أنا فقط متعب من المُجاملات،الإختلاط، الضحكات التي اطلقها بدلاً من الشتائم أنا مُتعب من الحوارات التي أخوضها ولا…",depression,slang,Twitter_API
RT @MomenAhmed__: ما أنا مكتئب الدنيا بتجبلي حاجات جديده أكتئب بيها ليه ما أنا مكتئب؟,depression,slang,Twitter_API
"••
انا عندي الاكتئاب مهزلة يعني لو حد ضحكني بضحك وممكن اغاني وارقص كمان بس انا ، انا في الحقيقة مكتئب 🌝🌼",depression,slang,Twitter_API
انا اسعد مكتئب ، اكبر اجتماعي منعزل ، اذكى متغابي ، اغرب انسان مفهوم ، انحس شخص محبوب ، اعقل شخص مجنون ، الحذر المت… https://t.co/ld7jGqS1Pt,depression,slang,Twitter_API
أنا إنسان محشو بالتناقضات، أشعر بأني سعيد بشكل مكتئب ومنعزل بشكل اجتماعي وغامض بشكل واضح,depression,slang,Twitter_API
اكتئاب تاني ما انا مكتئب اساسآ😅 https://t.co/wZkP1HGwow,depression,slang,Twitter_API
@skhalil940 ايه ده يعنى انا عمر كامل مكتئب غلط 😂😂,depression,slang,Twitter_API
ياناس انا نضحك ونبصر ونشفط بس من جوا والله مكتئب.,depression,slang,Twitter_API
أنا مُكتئب جداً لكن لارغبه لَدي بالبكَاء  أو الكلام إطلاقاً.,depression,slang,Twitter_API
@iih4u غير صحيخ انا نمت بكل الاوقات ومازلت مكتئب هههههههههههههههههههههههههههههههههههههههههههههه☹️,depression,slang,Twitter_API
حبيت أكذب على أساس المريض جاء يتعلم مبادئ الحياة اللي مختلف عليها أصلا في العيادة يبوي أنا مكتئب تعبان نفسيا أبغى ش… https://t.co/ez1fWyGH34,depression,slang,Twitter_API
انا افضل مكتئب و مفتحش تويتر احسن لكم من الكلام ده الصراحة 😂😂😂😂😂😂😂😂😂 https://t.co/xj5nvRz3jz,depression,slang,Twitter_API
أنا أسعد مكتئب وأكبر إجتماعي منعزلأذكى متغابي وأيضا أغرب إنسان مفهوموأعقد شخصية محبوبة≈,depression,slang,Twitter_API
@bianconeri_08 انا انسان مكتئب و ابغى اضحك علشان كذا بتابع المانيو,depression,slang,Twitter_API
ما أنا مكتئب الدنيا بتجبلي حاجات جديده أكتئب بيها ليه ما أنا مكتئب؟,depression,slang,Twitter_API
لستُ مكُتئب أنا فقط متعبٌ من المُجاملات، الإختلاط، الضحكات التي اُطلِقُها بدلاً من الشتائم، أنا مُتعبٌ من الحواراتِ… https://t.co/dY7P4fzfkj,depression,slang,Twitter_API
انا بدون الكورة والله يخوان اضيع فما بالك اللي مايتابع الكورة طول عمره مكتئب احسه,depression,slang,Twitter_API
أحس كل سكان الكوكب مكتئب هالفتره ولا أنا مشخصن الموضوع ؟,depression,slang,Twitter_API
"RT @yw0r7: انا خريجة ٢٠١٦
عملت تمهيدى ٢٠١٧
سجلت ماستر ٢٠١٨ على امل انى اتعين معيده ومحصلشى نصيب فجالى اكتئاب وقفت شغل فى الرساله
فشغلنى باه…",depression,slang,Twitter_API
طلعت انا مكتئب https://t.co/dfiNUPmfFe,depression,slang,Twitter_API
@Ainz88494999 @karo_wb يب انا قلت هو مكتئب بس ماهو سبب انك تقذف الرايح والجاي,depression,slang,Twitter_API
"RT @yw0r7: خريجة ٢٠١٦
عملت تمهيدى ٢٠١٧
سجلت ماستر ٢٠١٨ على امل انى اتعين معيده ومحصلشى نصيب فجالى اكتئاب وقفت شغل فى الرساله
فشغلنى باه ياس…",depression,slang,Twitter_API
@callmesundh انا مكتئب عندي اختبار الاحد طبيعي ماعرف اكتب ولا اسولف 😔,depression,slang,Twitter_API
طيب انا مو مكتئب ولا حاجة بس كيبورد حقكم تبن شسوي لكم عاد https://t.co/vqmhB7xRCK,depression,slang,Twitter_API
ما انا طول الصيف مكتئب وحران ومفرهد 😠,depression,slang,Twitter_API
"انا قعدت اقول مكتئب مكتئب محدش كان فاهمنى و لا حاسس بيا و كل الكلام انه عادى و هتعدى لحد ما كنت خلاص هروح فيها
انا… https://t.co/jsqcJnT58S",depression,slang,Twitter_API
و أنا في الجيش كنت شخص بيهزر كتير و بيقلد العساكر و صف الظباط و كنت ناشر روح البهجة في المكان في نفس الوقت كنت شخص… https://t.co/MwlO2IMY2x,depression,slang,Twitter_API
RT @KarimELMor2: أنا أكتر حد مكتئب ممكن يخلي أي حد مبسوط .,depression,slang,Twitter_API
انا اكثر انسانه مكتئب ولكنه مخلي الوضع عادي,depression,slang,Twitter_API
"انا خلال السهره كلت لب وموز وبلح وتفاح واندومي وشربت شااي 
انا مكتئب.😔",depression,slang,Twitter_API
RT @A__D__E_L: انا اكتر حد مكتئب ممكن يخلي اي حد مبسوط,depression,slang,Twitter_API
